title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Wilton Benitez Colombia Yellow Bourbon,JBC Coffee Roasters,96,"Madison, Wisconsin","Piendamó, Cauca, Colombia",Light,63/88,$22.00/8 ounces,February 2025,9,9,9,10,9,,
Kona Tropical Punch Washed,Paradise Roasters,95,"Hilo, Hawai’i Island, Hawai’i","Kona growing region, Hawai’i Island, Hawai'i",Light,68/84,$50.00/4 ounces,February 2025,9,9,9,9,9,,
Colombia Chachagüí Mild Roast,Rusty Dog Coffee,93,"Madison, Wisconsin","Chachagüí, Nariño Department, Colombia",Medium-Light,59/77,$21.00/12 ounces,February 2025,9,8,9,9,8,,
Murundo People’s Farm Rwanda,JBC Coffee Roasters,93,"Madison, Wisconsin","Nyamasheke District, Western Province, Rwanda",Medium-Light,57/79,$20.00/12 ounces,February 2025,9,8,9,9,8,,
Sochiapam Mexico,JBC Coffee Roasters,93,"Madison, Wisconsin","Sochiapam, Oaxaca, Mexico",Medium-Light,59/77,$21.00/12 ounces,February 2025,9,8,9,9,8,,
Kenya Kirinyaga,Red Rooster Coffee Roaster,95,"Floyd, Virginia","Kirinyaga District, south-central Kenya",Light,60/82,$25.00/12 ounces,February 2025,9,9,9,9,9,,
Costa Rica San Diego,Utopian Coffee,94,"Fort Wayne, Indiana","Tarrazu, Costa Rica",Medium-Light,57/77,$22.00/12 ounces,February 2025,9,8,9,9,9,,
Costa Rica La Candelilla Geisha,Red Rooster Coffee Roaster,94,"Floyd, Virginia","Tarrazu, Costa Rica",Light,62/84,$35.00/12 ounces,February 2025,9,9,9,9,8,,
Guatemala Santa Ana Dilla Alghe Washed,PT's Coffee Roasting Co.,93,"Topeka, Kansas","Santa Rosa Department, Guatemala",Medium-Light,58/77,$30.00/12 ounces,February 2025,9,8,9,9,8,,
Ethiopia Agaro Duromina,Jaunt Coffee Roasters,94,"San Diego, California","Agaro Duromina, Jimma Zone, Oromia State, Ethiopia",Medium-Light,59/79,$22.00/12 ounces,February 2025,9,9,9,9,8,,
Panama Renaissance Series Flora Geisha Washed,Coffeebox Coffee,94,"Taipei, Taiwan","Boquete growing region, western Panama",Light,68/94,NT $800/227 grams,February 2025,9,9,8,9,9,,
Costa Rica Tarrazu,Jaunt Coffee Roasters,93,"San Diego, California","Tarrazu, Costa Rica",Medium-Light,58/80,$22.00/12 ounces,February 2025,9,8,9,9,8,,
Kenya Embu Gicherori PB Washed,Coffeebox Coffee,93,"Taipei, Taiwan","Embu Country, Kenya",Light,72/94,NT $390/227 grams,February 2025,9,9,8,9,8,,
The Secret of Colombia,Coffeebox Coffee,92,"Taipei, Taiwan",Costa Rica; Colombia,Light,70/91,NT $390/227 grams,February 2025,9,9,8,9,7,,
Ethiopia Coffee Lamp Series Worka Natural G1,Coffeebox Coffee,92,"Taipei, Taiwan","Gedeb District, Gedeo Zone, southern Ethiopia",Light,62/86,NT $380/227 grams,February 2025,8,8,9,9,8,,
Guatemala La Minita La Flor Peaberry Washed,Coffeebox Coffee,91,"Taipei, Taiwan","Antigua Department, Guatemala",Medium-Light,54/70,NT $320/227 grams,February 2025,8,8,8,9,8,,
Colombia San Martin Bourbon Aji Star Fruit Peach Honey,GK Coffee,95,"Yilan, Taiwan","Huila Department, Colombia",Light,64/88,NT $650/200 grams,February 2025,9,9,9,9,9,,
Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural,GK Coffee,94,"Yilan, Taiwan","Alishan, Taiwan",Light,62/80,"NT $2,700/100 grams",February 2025,9,9,9,9,8,,
Taiwan COE#9 Alishan Zhuo Wu Farm Geisha Honey,GK Coffee,92,"Yilan, Taiwan","Alishan, Taiwan",Light,62/82,"NT $1,800/100 grams",February 2025,8,9,9,9,7,,
Las Margaritas Colombia Sudan Rume Natural,JBC Coffee Roasters,95,"Madison, Wisconsin","Caicendonia, Valle Del Cauca, Cauca Department, Colombia",Light,62/86,$25.00/8 ounces,February 2025,9,9,9,9,9,,
Yabitu Koba Ethiopia,JBC Coffee Roasters,95,"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,$23.00/12 ounces,February 2025,9,,9,9,9,9,
Pantan Musara Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,57/80,$23.00/12 ounces,February 2025,9,8,9,9,9,,
Ethiopia Yirgacheffe Misty Valley Aricha Washed G1,Buon Caffe,94,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,65/93,NT $339/8 ounces,February 2025,9,9,9,9,8,,
Kenya Kirinyaga Karimikui Factory AA TOP Washed,Buon Caffe,93,"Taipei, Taiwan","Kirinyaga District, south-central Kenya",Light,62/82,NT $399/8 ounces,February 2025,8,9,9,9,8,,
Ethiopia Guji Uraga Raro Washed G1,Buon Caffe,93,"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,68/90,NT $329/8 ounces,February 2025,9,9,8,9,8,,
Dembi Ethiopia Natural,JBC Coffee Roasters,93,"Madison, Wisconsin","Sidamo growing region, southern Ethiopia",Medium-Light,60/77,$22.00/12 ounces,February 2025,9,8,9,9,8,,
Ethiopia Sidamo Assefa 74110 Natural,Buon Caffe,93,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,66/89,NT $349/8 ounces,February 2025,9,8,9,9,8,,
Ethiopia Guji Uraga Tabe Burka G1 Washed,Buon Caffe,92,"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/81,NT $299/8 ounces,February 2025,8,8,9,9,8,,
Ethiopia Guji Hambela Red Honey G1,Buon Caffe,92,"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,61/85,NT $349/8 ounces,February 2025,8,8,9,9,8,,
Nicaragua La Estrella Washed,Buon Caffe,92,"Taipei, Taiwan","Nueva Segovia, Nicaragua",Medium-Light,59/81,NT $299/8 ounces,February 2025,9,8,8,9,8,,
El Salvador Lenca Pacas-Bourbon Washed,Buon Caffe,91,"Taipei, Taiwan","Ahuachapán growing region, El Salvador",Light,64/84,NT $299/8 ounces,February 2025,,8,9,8,8,,
Colombia Jose Ignacio Gomez Washed,Buon Caffe,90,"Taipei, Taiwan","Nariño Department, Colombia",Light,64/80,NT $399/8 ounces,February 2025,8,8,8,9,7,,
Guatemala El Soccoro Maracaturra Washed,Bear Lake Coffee,94,"Baronett, Wisconsin","Palencia, Guatemala Department, Guatemala",Medium-Light,60/78,$20.00/12 ounces,February 2025,9,9,9,9,8,,
El Salvador Dehydrated Honey Hybrid 1,Bear Lake Coffee,93,"Baronett, Wisconsin","Apaneca-Ilamatepec growing region, El Salvador",Light,60/82,$20.00/12 ounces,February 2025,9,8,9,9,8,,
Costa Rica Las Lajas SL-28 Natural,Durango Coffee Company,94,"Durango, Colorado","Sabanilla de Alajuela growing region, Costa Rica",Light,58/84,$30.00/12 ounces,January 2025,9,8,9,9,9,,
Ethiopia Faysel Abdosh,Utopian Coffee,94,"Fort Wayne, Indiana","Chericho, Sidamo growing region, Ethiopia",Light,64/88,$20.00/12 ounces,January 2025,9,9,9,9,8,,
Nicaragua Procafe Regenerative-Organic Certified,Utopian Coffee,93,"Fort Wayne, Indiana","San Juan del Rio Coco, Nicaragua",Medium,51/69,$20.00/12 ounces,January 2025,9,8,9,9,8,,
Ethiopia Guji Bishala G1 Red Honey,Dou Zhai Coffee & Roastery,94,"Taichung, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Medium-Light,58/80,NT $460/8 ounces,January 2025,9,8,9,9,8,,
Ethiopia Sidama Bensa Shantawene Gatta Kenean Dukamo Anaerobic Natural G1,Dou Zhai Coffee & Roastery,94,"Taichung, Taiwan","Bensa district, Sidama Zone, southern Ethiopia",Light,66/89,NT $720/8 ounces,January 2025,9,9,9,9,8,,
Ethiopia Natural Guji Shakiso Anasora G1,Dou Zhai Coffee & Roastery,93,"Taichung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,65/90,NT $420/8 ounces,January 2025,,8,9,9,8,,
Ethiopia Sidamo Arbegona OLOROSO Station 74158 TOP GRADE 1 Yellow Honey,Dou Zhai Coffee & Roastery,93,"Taichung, Taiwan","Sidamo growing Region, southern Ethiopia",Light,64/88,$NT $440/8 ounces,January 2025,9,8,9,9,8,,
DRC Mukwinja,Utopian Coffee,92,"Fort Wayne, Indiana","Kalehe, South Kivu growing region, Democratic Republic of Congo",Medium-Light,52/70,$19.00/12 ounces,January 2025,8,8,8,9,9,,
Colombia Huila La Florida Natural Selective,Dou Zhai Coffee & Roastery,93,"Taichung, Taiwan","Huila Department, Colombia",Medium-Light,59/81,NT $480/8 ounces,January 2025,9,9,8,9,8,,
Ethiopia Guji Hambela Natural G1,Dou Zhai Coffee & Roastery,92,"Taichung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,66/92,NT $480/8 ounces,January 2025,9,8,8,9,8,,
Ethiopia Oromia Guji Uraga Kurume TOP GRADE 1 Anaerobic Natural,Dou Zhai Coffee & Roastery,91,"Taichung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,63/83,NT $420/8 ounces,January 2025,8,8,9,9,7,,
Kenya Nyeri Hill AB,Roadmap CoffeeWorks,96,"Lexington, Virginia","Nyeri growing region, south-central Kenya",Medium-Light,58/82,$23.50/12 ounces,January 2025,9,9,9,10,9,,
Ethiopia Sidama  Bombe Natural,Bargain Cafe,94,"Taitung, Taiwan","Sidamo growing region, southern Ethiopia",Light,61/85,NT $350/200 grams,January 2025,9,8,9,9,9,,
Ethiopia Kayon Mountain,Roadmap CoffeeWorks,95,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Light,64/88,$24.00/12 ounces,January 2025,9,9,9,9,9,,
Colombia Red Sunset,Roadmap CoffeeWorks,94,"Lexington, Virginia","Santa Barbara, Antioquia Department, Colombia",Light,60/84,$27.00/12 ounces,January 2025,9,8,9,9,9,,
Encounter Passionfruit Orchard,Bargain Cafe,93,"Taitung, Taiwan",Ethiopia; Honduras; Colombia,Light,64/88,NT $400/200 grams,January 2025,9,8,9,9,8,,
Kenya Starry Night’s Fruitful Serenity,Bargain Cafe,93,"Taitung, Taiwan","Kiambu County, Kenya",Light,60/86,NT $350/200 grams,January 2025,9,9,8,9,8,,
Espresso Giusto Blend,Roadmap CoffeeWorks,93,"Lexington, Virginia",Not disclosed,Medium-Light,52/74,$18.25/12 ounces,January 2025,8,,9,9,8,9,
Blue Ridge Blend,Roadmap CoffeeWorks,92,"Lexington, Virginia",Not disclosed,Medium,46/74,$17.50/12 ounces,January 2025,8,8,9,9,8,,
Panama Geisha Vuelta DRD Natural Lot GN-01,Paradise Roasters,97,"Hilo, Hawai’i Island, Hawai’i","Boquete growing region, western Panama",Light,64/88,$400.00/20 grams,January 2025,10,9,9,10,9,,
Panama Kaizen Lot GW-01,Paradise Roasters,96,"Hilo, Hawai’i Island, Hawai’i","Boquete growing region, western Panama",Light,65/90,$400.00/20 grams,January 2025,9,9,9,10,9,,
Kona Geisha Champagne Natural,Paradise Roasters,95,"Hilo, Hawai’i Island, Hawai’i","Hōlualoa, North Kona growing region, Hawai’i Island, Hawai’i",Light,64/88,$200.00/4 ounces,January 2025,9,9,9,9,9,,
Ethiopia Nano Genji Lot #8,SkyTop Coffee,94,"Manlius, New York","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Light,64/84,$22.00/12 ounces,January 2025,9,9,9,9,8,,
Colombia Hacienda La Pradera Mokka,SkyTop Coffee,94,"Manlius, New York","Santander Department, Colombia",Light,64/88,$42.00/12 ounces,January 2025,9,9,9,9,8,,
Kenya Crown Jewel Nyeri Ichamama,SkyTop Coffee,93,"Manlius, New York","Nyeri County, Central Province, Kenya",Medium-Light,59/79,$30.00/12 ounces,January 2025,8,9,9,9,8,,
La Piragua Pink Bourbon Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin","Palestina, Huila Department, Colombia",Light,62/84,$22.00/12 ounces,January 2025,9,9,9,9,8,,
Kenya Baragwi Guama,Utopian Coffee,94,"Fort Wayne, Indiana","Guama Village, Kirinyaga County, Kenya",Medium-Light,60/78,$22.00/12 ounces,January 2025,9,9,8,9,9,,
Guatemala Punta del Cerro,Intuition Coffee,93,"Peoria, Illinois","La Libertad, Huehuetenango Department, Guatemala",Medium-Light,58/77,$22.00/12 ounces,January 2025,9,9,8,9,8,,
Ethiopia Washed Uraga More Floral Kurume Espresso,Kakalove Cafe,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/79,NT $270/8 ounces,January 2025,9,,9,9,9,9,
Ethiopia Natural Sidama ALO Village FL,Kakalove Cafe,95,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,62/84,NT $480/4 ounces,January 2025,9,9,9,9,9,,
Ethiopia Washed Sidama Bura Karamo 74158,Kakalove Cafe,95,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,64/84,NT $320/8 ounces,January 2025,9,9,8,10,9,,
Ethiopia Natural Guji Hambella Wamena Buku G1,Kakalove Cafe,94,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,64/88,NT $320/8 ounces,January 2025,9,8,9,9,9,,
Ethiopia Natural Sidama Niguse Gemeda 74158,Kakalove Cafe,93,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,60/82,NT $320/8 ounces,January 2025,9,8,9,9,8,,
Guatemala Naranjas Nadando,PT's Coffee Roasting Co.,95,"Topeka, Kansas","Huehuetenango, Guatemala",Light,62/84,$22.00/10 ounces,January 2025,9,9,9,9,9,,
Songstress Geisha,Heat Coffee,95,"Taipei, Taiwan","Bench-Maji Zone, southern Ethiopia",Light,64/86,NT $370/8 ounces,January 2025,9,9,9,9,9,,
Narcissus,Heat Coffee,93,"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,NT $320/8 ounces,January 2025,9,9,8,9,8,,
Venture Coffee Blend,Heat Coffee,91,"Taipei, Taiwan",Ethiopia; Brazil,Medium-Light,59/78,NT $179/8 ounces,January 2025,8,8,9,9,7,,
Ethiopia Gesha Village Surma 1931 Mossto Anaerobic Honey,Bear Lake Coffee,95,"Baronett, Wisconsin","Bench-Maji Zone, southern Ethiopia",Light,62/84,$40.00/6 ounces,January 2025,9,9,9,9,9,,
Panama Bambito Estate Geisha,Mostra Coffee,95,"San Diego, California","Volcan Baru, Boquete growing region, Panama",Light,64/88,$38.75/4 ounces,December 2024,9,9,9,9,9,,
Colombia Efren Echeverry,Utopian Coffee,94,"Fort Wayne, Indiana","Pitalito, Huila Department, Colombia",Light,62/84,$25.00/12 ounces,December 2024,9,9,9,9,8,,
Fincas Las Moritas Pacamara Amarillo,El Gran Cafe,93,"Antigua Guatemala, Guatemala","San Antonio La Paz, El Progreso Department, Guatemala",Medium-Light,60/78,$24.00/12 ounces,December 2024,9,8,9,9,8,,
Bunny Kitty Blend,Jaunt Coffee Roasters,93,"San Diego, California",Kenya; Sumatra,Medium-Light,59/81,$29.00/8 ounces,December 2024,9,8,9,9,8,,
Ayla Bombe Natural,JBC Coffee Roasters,94,"Madison, Wisconsin","Sidamo growing region, southern Ethiopia",Light,63/87,$22.00/12 ounces,December 2024,9,9,9,9,8,,
Wilton Benitez Striped Bourbon Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin","Piendamó, Cauca, Colombia",Light,62/84,$25.00/8 ounces,December 2024,9,9,8,9,9,,
Buena Vista Pink Bourbon Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin","La Muralla, Huila Department, Colombia",Medium-Light,59/77,$22.00/8 ounces,December 2024,9,9,9,9,8,,
Yabitu Koba Ethiopia,JBC Coffee Roasters,93,"Madison, Wisconsin","Guji Zone, Oromia region, southern Ethiopia",Light,60/82,$23.00/12 ounces,December 2024,9,9,8,9,8,,
Ethiopia Banko Washed,Red Rooster Coffee Roaster,96,"Floyd, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Light,62/84,$24.00/12 ounces,December 2024,9,9,9,10,9,,
Colombia Villa Betulia CM Sidra,Corvus Coffee,96,"Denver, Colorado","Acevedo, Huila Department, Colombia",Light,60/84,$46.00/8 ounces,December 2024,9,9,9,10,9,,
Ethiopia Anaerobic Worka Sakaro,Red Rooster Coffee Roaster,95,"Floyd, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Light,66/92,$24.00/12 ounces,December 2024,9,9,9,9,9,,
Costa Rica Hacienda Sonora Natural Milenio,Corvus Coffee,94,"Denver, Colorado","Alajuela, Central Valley, Costa Rica",Light,62/84,$19.00/8 ounces,December 2024,9,9,9,9,8,,
Costa Rica Alma Negra Natural,Red Rooster Coffee Roaster,94,"Floyd, Virginia","Alajuela, Central Valley, Costa Rica",Light,58/88,$25.00/12 ounces,December 2024,9,9,9,9,8,,
El Salvador Finca Santa Sofia Natural Kenya,Corvus Coffee,94,"Denver, Colorado","Santa Ana, El Salvador",Light,68/94,$22.00/8 ounces,December 2024,9,9,8,9,8,,
Colombia Aponte Honey,Red Rooster Coffee Roaster,94,"Floyd, Virginia","Aponte, Nariño Department, Colombia",Light,64/88,$23.00/12 ounces,December 2024,9,9,8,9,9,,
Good Tidings Holiday Sweet,Red Rooster Coffee Roaster,93,"Floyd, Virginia",Colombia; Ethiopia,Medium-Light,60/77,$24.00/12 ounces,December 2024,9,9,8,9,8,,
Guatemala Maravilla La Cumbre Washed Pache,Corvus Coffee,93,"Denver, Colorado","Huehuetenango, Guatemala",Light,64/82,$15.00/8 ounces,December 2024,9,8,9,9,8,,
Venezuela La Curva,Red Rooster Coffee Roasters,91,"Floyd, Virginia","Mocoties Valley, Merida State Venezuela",Light,64/82,$19.00/12 ounces,December 2024,9,8,8,9,7,,
El Salvador Finca Don Jaime,Conscious Cup Coffee Roasters,94,"Crystal Lake, Illinois","Chalatenango growing region, El Salvador",Medium-Light,58/76,$26.00/12 ounces,December 2024,9,8,9,9,9,,
Finca Huixoc Geisha,El Gran Cafe,94,"Antigua Guatemala, Guatemala","La Democracia, Huehuetenango Department, Guatemala",Light,60/82,$24.00/12 ounces,December 2024,9,9,9,9,8,,
Finca Santa Elisa Geisha,El Gran Cafe,93,"Antigua Guatemala, Guatemala","Acatenango, Chimaltenango Department, Guatemala",Light,64/80,$45.00/12 ounces,December 2024,9,8,9,9,8,,
Finca La Esperanza,El Gran Cafe,93,"Antigua Guatemala, Guatemala","Antigua Department, Guatemala",Medium-Light,58/78,$24.00/12 ounces,December 2024,9,9,8,9,8,,
El Salvador Finca Plan de Hoyo,Conscious Cup Coffee Roasters,93,"Crystal Lake, Illinois","Apaneca growing region, El Salvador",Light,62/84,$23.00/12 ounces,December 2024,9,9,8,9,8,,
Espresso Np. 7 Fincas Las Moritas Pacamaras,El Gran Cafe,93,"Antigua Guatemala, Guatemala","San Antonio La Paz, El Progreso Department, Guatemala",Medium-Light,52/72,$24.00//12 ounces,December 2024,9,,8,9,8,9,
Finca Retana,El Gran Cafe,93,"Antigua Guatemala, Guatemala","Antigua Department, Guatemala",Medium-Light,58/76,$24.00/12 ounces,December 2024,9,9,8,9,8,,
Finca San Ramón,El Gran Cafe,92,"Antigua Guatemala, Guatemala","San Juan Sacatepequez, Sacatepequez Department, Guatemala",Medium-Light,60/76,$20.00/12 ounces,December 2024,8,9,8,9,8,,
Todos Santos Cuchumatanán Pacamara,El Gran Cafe,92,"Antigua Guatemala, Guatemala","Todos Santos Cuchumatán, Huehuetenango Department, Guatemala",Medium-Light,56/74,$20.00/12 ounces,December 2024,8,8,9,9,8,,
Finca Huixoc Pacamara,El Gran Cafe,91,"Antigua Guatemala, Guatemala","La Democracia, Huehuetenango Department, Guatemala",Medium-Light,58/76,$20.00/12 ounces,December 2024,8,8,8,9,8,,
5a Poniente,El Gran Cafe,91,"Antigua Guatemala, Guatemala","Antigua Department, Guatemala",Medium,45/71,$7.00/12 ounces,December 2024,8,8,8,9,8,,
5a Sur,El Gran Cafe,91,"Antigua Guatemala, Guatemala","Antigua Department, Guatemala",Medium,50/66,$7.00/12 ounces,December 2024,9,8,8,9,7,,
Guatemala El Socorro Natural,Coffee Bros.,91,"Long Island City, New York","Palencia, Guatemala Department, Guatemala",Medium-Light,58/77,$24.99/12 ounces,December 2024,8,8,8,9,8,,
Costa Rica Rivense Finca El Mango Honey Process,Jackrabbit Java,94,"Thermopolis, Wyoming","Chirripo, Brunca growing region, Costa Rica",Light,62/84,$16.00/12 ounces,December 2024,9,9,9,9,8,,
Ethiopia Guji Shakiso Gigeso Natural,RamsHead Coffee Roasters,93,"Livingston, Montana",,Medium-Light,59/77,$19.00/12 ounces,December 2024,9,8,9,9,8,,
Ethiopia Guji Buku Sayisa Natural,RamsHead Coffee Roasters,93,"Livingston, Montana","Guji Zone, Oromia region, southern Ethiopia",Light,62/86,$22.00/12 ounces,December 2024,9,8,9,9,8,,
Tanzania AB Nsoga Iweyza,Jackrabbit Java,93,"Thermopolis, Wyoming","Mbeya, Tanzania",Medium-Light,58/78,$14.00/12 ounces,December 2024,9,9,8,9,8,,
Bolivia San Lorenzo,Jackrabbit Java,92,"Thermopolis, Wyoming","San Lorenzo, Caranavi Province, La Paz Department, Bolivia",Light,64/82,$20.00/12 ounces,December 2024,9,8,8,9,8,,
Ethiopia Yirgacheffe Biloya Anaerobic,RamsHead Coffee Roasters,92,"Livingston, Montana","Yirgacheffe growing region, south-central Ethiopia",Light,60/89,$35.00/12 ounces,December 2024,8,8,8,9,9,,
Colombia Water Process Decaf,Jackrabbit Java,91,"Thermopolis, Wyoming",Colombia,Medium-Light,58/78,$14.00/12 ounces,December 2024,8,8,8,9,8,,
Kenya Kiamwangi Factory AA TOP,Buon Caffe,94,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,60/80,NT $389/8 ounces,December 2024,9,9,8,9,9,,
Ethiopia Sidama Bensa Hamasho Washed TOH#2,Buon Caffe,94,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,64/86,NT $349/8 ounces,December 2024,9,9,9,9,8,,
X’mas Blend,Buon Caffe,93,"Taipei, Taiwan",Ethiopia; El Salvador,Medium-Light,58/78,NT $319/8 ounces,December 2024,9,9,8,9,8,,
Ethiopia Sidama Arbegona Bochesa Natural,Buon Caffe,93,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,62/80,NT $379/8 ounces,December 2024,9,8,9,9,8,,
Ethiopia Sidama Arbegona Natural ASD TOH#2,Buon Caffe,92,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,58/84,NT $399/8 ounces,December 2024,8,8,9,9,8,,
Costa Rica Red Java Honey Finca Los Pinitos,Magnolia Coffee,95,"Charlotte, North Carolina","Alajuela, Central Valley, Costa Rica",Light,60/88,$29.00//12 ounces,November 2024,9,9,9,9,9,,
Costa Rica Finca El Cañal Double Diamond,Magnolia Coffee,94,"Charlotte, North Carolina","Alajuela, Central Valley, Costa Rica",Light,62/86,$28.00/12 ounces,November 2024,9,9,9,9,8,,
Honduras Roger Dominguez,Utopian Coffee,94,"Fort Wayne, Indiana","La Paz, Marcala growing region, Honduras",Light,66/88,$20.00/8 ounces,November 2024,9,8,9,9,9,,
Ethiopia Dembi,Rusty Dog Coffee,93,"Madison, Wisconsin","Sidamo growing region, southern Ethiopia",Light,64/81,$21.50/12 ounces,November 2024,8,9,9,9,8,,
Guatemala Finca Los Dos Socios,Utopian Coffee,93,"Fort Wayne, Indiana","El Chalum, La Libertad, Huehuetenango Department, Guatemala",Medium-Light,57/77,$19.00/12 ounces,November 2024,9,8,9,9,8,,
Guatemala Buenos Aires,Rusty Dog Coffee,93,"Madison, Wisconsin","Huehuetenango Department, Guatemala",Light,61/83,$20.50/12 ounces,November 2024,9,8,9,9,8,,
Honduras Pacayal Regenerative Organic-Certified,Utopian Coffee,93,"Fort Wayne, Indiana","La Paz, Marcala growing region, Honduras",Medium-Light,60/78,$18.00/12 ounces,November 2024,8,9,9,9,8,,
Decaf Mexico Esmeralda,Utopian Coffee,92,"Fort Wayne, Indiana","Oaxaca, Mexico",Medium-Light,58/72,$20.00/12 ounces,November 2024,8,8,9,9,8,,
Thai Law Wu,Rusty Dog Coffee,91,"Madison, Wisconsin","Chiang Mai, Thailand",Medium-Light,58/76,$20.50/12 ounces,November 2024,9,8,8,9,7,,
Ngurueri Kenya,JBC Coffee Roasters,94,"Madison, Wisconsin","Embu County, Kenya",Light,62/80,$22.00/12 ounces,November 2024,9,9,8,9,9,,
Cruz Loma Ecuador,JBC Coffee Roasters,94,"Madison, Wisconsin","San José de Minas, Pichincha Province, Ecuador",Light,60/82,$22.00/8 ounces,November 2024,9,9,9,9,8,,
El Faldon Colombia,JBC Coffee Roasters,93,"Madison, Wisconsin","Huila Department, Colombia",Medium-Light,58/76,$25.00/12 ounces,November 2024,9,8,9,9,8,,
Ballista Espresso,Barrington Coffee Roasting Co.,94,"Lee, Massachusetts","Ethiopia, Brazil",Medium-Light,56/74,$18.45/12 ounces,November 2024,9,,9,9,8,9,
Ethiopia Natural Lion 88,David's Nose,94,"Taipei, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Light,66/90,NT $500/8 ounces,November 2024,9,9,9,9,8,,
Ethiopia Washed Baby Geisha,David's Nose,93,"Taipei, Taiwan","Djimma Limu, Sidamo growing region, Ethiopia",Light,64/86,NT $500/8 ounces,November 2024,9,9,8,9,8,,
Ethiopia Anaerobic Washed Wild Rose,David's Nose,92,"Taipei, Taiwan","Sidamo growing region, Ethiopia",Light,66/89,NT $500/8 ounces,November 2024,8,8,9,9,8,,
PNG New Heaven,David's Nose,92,"Taipei, Taiwan",Papua New Guinea,Medium-Light,61/79,NT $500/8 ounces,November 2024,9,8,8,9,8,,
Colombia Santa Monica Pink Bourbon Honey Co-Ferment Strawberry,Oceana Coffee,93,"Tequesta, Florida","Quindio Department, Colombia",Light,62/80,$38.00/12 ounces,November 2024,9,9,8,9,8,,
Colombia Finca Juan Martin Sidra Natural,Oceana Coffee,93,"Tequesta, Florida","Sotara, Cauca Department, Colombia",Medium-Light,58/77,$38.00/12 ounces,November 2024,9,8,9,9,8,,
Colombia El Paraiso Geisha Anti-Maceration,SOT Coffee Roaster,95,"Osaka, Japan","Piendamo, Cauca Department, Colombia",Light,70/94,$29.00/50 grams,November 2024,9,9,9,9,9,,
Panama Bambito Gesha,Oliver's Custom Coffee,94,"Olympia, Washington","Bambito Mountains, Chiriqui, Panama",Light,62/84,$55.00/8 ounces,November 2024,9,9,9,9,8,,
Kona Monarch Gesha Champagne,Oliver's Custom Coffees,93,"Olympia, Washington","Holualoa, North Kona growing district, Hawai’i Island",Medium-Light,61/79,$55.00/8 ounces,November 2024,9,9,8,9,8,,
Panama Geisha Vuelta DRD Natural,Paradise Roasters,97,"Hilo, Hawai’i","Boquete growing region, western Panama",Light,66/88,$88.00/4 ounces,November 2024,10,9,9,10,9,,
Kona S12 Kaffa Washed,Paradise Roasters,96,"Hilo, Hawai’i","Hōlualoa, North Kona, Hawai’i Island",Light,67/94,$100.00/4 ounces,November 2024,9,9,9,10,9,,
Kona Geisha Rosé Washed,Paradise Roasters,96,"Hilo, Hawai’i","Hōlualoa, North Kona, Hawai’i Island",Light,64/88,$100.00/4 ounces,November 2024,9,9,9,10,9,,
Panama Tierra Blanca C-5 Geisha Washed BOP-GW-05,Euphora Coffee,97,"Taipei, Taiwan","Boquete growing region, western Panama",Light,64/88,$700/4 ounces,November 2024,10,9,9,10,9,,
